SampleID,SPAGCN,DeepST,GraphST,SEDR,SpaCross,STELLAR,STransfer
25,0.106,0.107,0.142,0.308,0.332,0.213227694,0.473
26,0.216688343,0.123697815,0.302507476,0.279495628,0.407,0.293007998,0.602385076
27,0.201793574,0.148508728,0.403694059,0.396180497,0.349,0.2561846,0.521629632
28,0.147862906,0.172097385,0.396075218,0.309139448,0.425,0.27887293,0.638089989
29,0.118485313,0.129919034,0.269055986,0.415181447,0.493,0.1638933,0.608559338
